x,y,z,reading,B
0,0,-20,473.74,0.047374
-12,0,-16,476.5,0.04765
-8,-8,-16,476.75,0.047675
-8,-4,-16,476.49,0.047649
-8,0,-16,476.35,0.047635
-8,4,-16,476.3,0.04763
-8,8,-16,476.35,0.047635
-4,-8,-16,476.41,0.047641
-4,-4,-16,476.08,0.047608
-4,0,-16,476,0.0476
-4,4,-16,475.95,0.047595
-4,8,-16,476.07,0.047607
0,-12,-16,476.43,0.047643
0,-8,-16,476.03,0.047603
0,-4,-16,475.7,0.04757
0,0,-16,475.55,0.047555
0,4,-16,475.51,0.047551
0,8,-16,475.59,0.047559
0,12,-16,475.85,0.047585
4,-8,-16,475.62,0.047562
4,-4,-16,475.23,0.047523
4,0,-16,475.02,0.047502
4,4,-16,475.11,0.047511
4,8,-16,475.26,0.047526
8,-8,-16,475.21,0.047521
8,-4,-16,474.77,0.047477
8,0,-16,474.6,0.04746
8,4,-16,474.74,0.047474
8,8,-16,474.96,0.047496
12,0,-16,474.08,0.047408
-16,0,-12,477.3,0.04773
-12,-8,-12,478.03,0.047803
-12,-4,-12,477.57,0.047757
-12,0,-12,477.35,0.047735
-12,4,-12,477.28,0.047728
-12,8,-12,477.3,0.04773
-8,-12,-12,478.2,0.04782
-8,-8,-12,477.76,0.047776
-8,-4,-12,477.33,0.047733
-8,0,-12,477.16,0.047716
-8,4,-12,477.07,0.047707
-8,8,-12,477.11,0.047711
-8,12,-12,477.16,0.047716
-4,-12,-12,478.11,0.047811
-4,-8,-12,477.56,0.047756
-4,-4,-12,477.28,0.047728
-4,0,-12,477.04,0.047704
-4,4,-12,476.87,0.047687
-4,8,-12,476.88,0.047688
-4,12,-12,476.96,0.047696
0,-16,-12,478.6,0.04786
0,-12,-12,478.03,0.047803
0,-8,-12,477.5,0.04775
0,-4,-12,477.11,0.047711
0,0,-12,476.84,0.047684
0,4,-12,476.8,0.04768
0,8,-12,476.84,0.047684
0,12,-12,476.84,0.047684
0,16,-12,476.89,0.047689
4,-12,-12,478.01,0.047801
4,-8,-12,477.43,0.047743
4,-4,-12,477.02,0.047702
4,0,-12,476.67,0.047667
4,4,-12,476.61,0.047661
4,8,-12,476.63,0.047663
4,12,-12,476.77,0.047677
8,-12,-12,478.25,0.047825
8,-8,-12,477.45,0.047745
8,-4,-12,476.88,0.047688
8,0,-12,476.6,0.04766
8,4,-12,476.43,0.047643
8,8,-12,476.5,0.04765
8,12,-12,476.65,0.047665
12,-8,-12,477.75,0.047775
12,-4,-12,477.06,0.047706
12,0,-12,476.7,0.04767
12,4,-12,476.48,0.047648
12,8,-12,476.5,0.04765
16,0,-12,476.7,0.04767
-18,-2,-8,477.94,0.047794
-18,2,-8,477.72,0.047772
-14,-10,-8,478.99,0.047899
-14,-6,-8,478.41,0.047841
-14,-2,-8,477.97,0.047797
-14,2,-8,477.6,0.04776
-14,6,-8,477.6,0.04776
-14,10,-8,477.69,0.047769
-10,-14,-8,479.42,0.047942
-10,-10,-8,478.84,0.047884
-10,-6,-8,478.38,0.047838
-10,-2,-8,478.02,0.047802
-10,2,-8,477.76,0.047776
-10,6,-8,477.68,0.047768
-10,10,-8,477.63,0.047763
-10,14,-8,477.77,0.047777
-6,-14,-8,479.29,0.047929
-6,-10,-8,478.78,0.047878
-6,-6,-8,478.35,0.047835
-6,-2,-8,477.99,0.047799
-6,2,-8,477.77,0.047777
-6,6,-8,477.53,0.047753
-6,10,-8,477.44,0.047744
-6,14,-8,477.62,0.047762
-2,-18,-8,479.89,0.047989
-2,-14,-8,479.29,0.047929
-2,-10,-8,478.91,0.047891
-2,-6,-8,478.42,0.047842
-2,-2,-8,478.16,0.047816
-2,2,-8,477.92,0.047792
-2,6,-8,477.73,0.047773
-2,10,-8,477.66,0.047766
-2,14,-8,477.67,0.047767
-2,18,-8,477.67,0.047767
2,-18,-8,479.94,0.047994
2,-14,-8,479.65,0.047965
