x y z
0 0 -20
-12 0 -16
-8 -8 -16
-8 -4 -16
-8 0 -16
-8 4 -16
-8 8 -16
-4 -8 -16
-4 -4 -16
-4 0 -16
-4 4 -16
-4 8 -16
0 -12 -16
0 -8 -16
0 -4 -16
0 0 -16
0 4 -16
0 8 -16
0 12 -16
4 -8 -16
4 -4 -16
4 0 -16
4 4 -16
4 8 -16
8 -8 -16
8 -4 -16
8 0 -16
8 4 -16
8 8 -16
12 0 -16
-16 0 -12
-12 -8 -12
-12 -4 -12
-12 0 -12
-12 4 -12
-12 8 -12
-8 -12 -12
-8 -8 -12
-8 -4 -12
-8 0 -12
-8 4 -12
-8 8 -12
-8 12 -12
-4 -12 -12
-4 -8 -12
-4 -4 -12
-4 0 -12
-4 4 -12
-4 8 -12
-4 12 -12
0 -16 -12
0 -12 -12
0 -8 -12
0 -4 -12
0 0 -12
0 4 -12
0 8 -12
0 12 -12
0 16 -12
4 -12 -12
4 -8 -12
4 -4 -12
4 0 -12
4 4 -12
4 8 -12
4 12 -12
8 -12 -12
8 -8 -12
8 -4 -12
8 0 -12
8 4 -12
8 8 -12
8 12 -12
12 -8 -12
12 -4 -12
12 0 -12
12 4 -12
12 8 -12
16 0 -12
-18 -2 -8
-18 2 -8
-14 -10 -8
-14 -6 -8
-14 -2 -8
-14 2 -8
-14 6 -8
-14 10 -8
-10 -14 -8
-10 -10 -8
-10 -6 -8
-10 -2 -8
-10 2 -8
-10 6 -8
-10 10 -8
-10 14 -8
-6 -14 -8
-6 -10 -8
-6 -6 -8
-6 -2 -8
-6 2 -8
-6 6 -8
-6 10 -8
-6 14 -8
-2 -18 -8
-2 -14 -8
-2 -10 -8
-2 -6 -8
-2 -2 -8
-2 2 -8
-2 6 -8
-2 10 -8
-2 14 -8
-2 18 -8
2 -18 -8
2 -14 -8
2 -10 -8
2 -6 -8
2 -2 -8
2 2 -8
2 6 -8
2 10 -8
2 14 -8
2 18 -8
6 -14 -8
6 -10 -8
6 -6 -8
6 -2 -8
6 2 -8
6 6 -8
6 10 -8
6 14 -8
10 -14 -8
10 -10 -8
10 -6 -8
10 -2 -8
10 2 -8
10 6 -8
10 10 -8
10 14 -8
14 -10 -8
14 -6 -8
14 -2 -8
14 2 -8
14 6 -8
14 10 -8
18 -2 -8
18 2 -8
-19 -3 -4
-19 1 -4
-15 -11 -4
-15 -7 -4
-15 -3 -4
-15 1 -4
-15 5 -4
-15 9 -4
-11 -15 -4
-11 -11 -4
-11 -7 -4
-11 -3 -4
-11 1 -4
-11 5 -4
-11 9 -4
-11 13 -4
-7 -15 -4
-7 -11 -4
-7 -7 -4
-7 -3 -4
-7 1 -4
-7 5 -4
-7 9 -4
-7 13 -4
